primary_name,HD,Teff(K),Teff_err(K),Mass,Mass-err,Mass+err,logLuminosity,logLuminosity-err,logLuminosity+err
Beta Vir,HD102870,6119,100,1.304368204,-0.032193604,0.020048603,0.520541886,-0.0221499,0.021373181
Tau Ceti,HD10700,5307,102,0.742396361,-0.029349796,0.031182956,-0.373627303,-0.019459981,0.024648236
alpha Cen A,HD128620,5794,118,1.210993592,-0.150894065,0.091072209,0.353496611,-0.050392082,0.051130361
alpha Cen B,HD128621,5243,102,0.905213615,-0.049094271,0.04669945,-0.323044023,-0.068774323,0.077482777
mu Ara,HD160691,5793,103,1.179432535,-0.042322995,0.03432767,0.265286961,-0.019453873,0.02381511
iota Hor,HD17051,6101,102,1.196119851,-0.045583545,0.021986187,0.22820036,-0.018537044,0.016295393
delta Pav,HD190248,5643,102,1.10523672,-0.060783327,0.088246611,0.074280351,-0.027305337,0.025242809
Beta Hyi,HD2151,5911,104,1.26303711,-0.138723432,0.114605996,0.527259751,-0.024060572,0.025532086
alpha CMi,HD61421,6705,131,1.540788456,-0.071586816,0.073295793,0.894836951,-0.057259754,0.058742758
Sun,Sun,5777,115.54,1,0.5,0.5,0,-2,-2
